index,influence,blend_in,special,leader,authority
1836,yes,yes,yes,yes,no
1837,no,yes,no,yes,no
1838,yes,yes,yes,yes,yes
1839,yes,yes,no,no,no
1840,yes,yes,yes,yes,yes
1841,no,yes,no,yes,no
1842,yes,yes,no,yes,no
1843,no,yes,no,no,no
1844,yes,yes,yes,yes,yes
1845,yes,no,yes,yes,no
1846,yes,no,yes,yes,yes
1847,no,no,no,no,no
1848,no,yes,no,no,yes
1849,yes,yes,yes,no,yes
1850,no,yes,yes,yes,yes
1851,yes,yes,no,no,no
1852,yes,yes,no,no,no
1853,yes,no,yes,yes,yes
1854,no,yes,no,yes,no
1855,yes,no,yes,yes,yes
1856,yes,no,yes,yes,yes
1857,no,yes,no,yes,no
1858,yes,no,yes,yes,yes
1859,yes,yes,no,yes,no
1860,yes,yes,no,yes,yes
1861,no,no,no,no,no
1862,yes,no,yes,yes,yes
1863,yes,yes,yes,no,no
1864,yes,no,yes,yes,no
1865,no,yes,no,no,no
1866,yes,yes,yes,yes,no
1867,no,yes,no,yes,yes
1868,yes,no,yes,yes,yes
1869,yes,no,no,no,no
1870,yes,no,no,no,yes
1871,yes,yes,no,yes,no
1872,yes,yes,yes,yes,no
1873,yes,no,yes,yes,yes
1874,no,no,no,no,yes
1875,no,yes,yes,no,no
1876,no,yes,no,no,no
1877,no,yes,no,yes,no
1878,yes,yes,yes,yes,no
1879,no,yes,no,no,no
1880,no,yes,no,yes,yes
1881,yes,yes,no,yes,no
1882,yes,yes,no,yes,no
1883,yes,no,no,yes,yes
1884,no,yes,no,no,yes
1885,yes,yes,no,yes,no
1886,no,yes,yes,no,no
1887,yes,yes,no,yes,no
1888,yes,yes,no,no,no
1889,yes,yes,no,yes,no
1890,no,yes,yes,no,no
1891,yes,no,yes,yes,yes
1892,no,yes,yes,yes,no
1893,no,yes,no,yes,no
1894,no,yes,no,yes,yes
1895,yes,yes,yes,yes,yes
1896,yes,yes,yes,yes,yes
1897,no,yes,no,no,no
1898,no,yes,no,yes,yes
1899,yes,no,yes,yes,no
1900,yes,no,no,no,no
1901,yes,yes,yes,yes,no
1902,no,yes,yes,no,yes
1903,no,no,yes,yes,yes
1904,yes,no,no,yes,yes
1905,yes,no,yes,yes,yes
1906,yes,no,yes,yes,yes
1907,no,yes,yes,no,yes
1908,no,yes,no,yes,no
1909,yes,yes,yes,no,no
1910,yes,yes,yes,yes,yes
1911,yes,no,yes,yes,yes
1912,no,no,no,yes,no
1913,no,yes,no,no,no
1914,no,no,yes,no,yes
1915,no,yes,yes,no,no
1916,no,yes,no,no,no
1917,no,yes,yes,no,no
1918,no,yes,no,no,no
1919,yes,yes,no,yes,yes
1920,no,yes,no,no,no
1921,no,yes,no,no,no
1922,no,yes,no,no,no
1923,yes,yes,no,yes,yes
1924,no,yes,yes,no,no
1925,no,yes,no,yes,no
1926,yes,no,yes,yes,yes
1927,no,no,yes,yes,no
1928,yes,yes,no,yes,yes
1929,yes,no,yes,yes,yes
1930,yes,no,yes,yes,no
1931,yes,no,yes,no,no
1932,yes,no,yes,yes,yes
1933,no,yes,no,yes,no
1934,yes,yes,no,yes,no
1935,yes,no,yes,no,yes
1936,yes,yes,yes,yes,no
1937,yes,yes,no,no,yes
1938,yes,no,no,no,yes
1939,no,yes,no,no,no
1940,yes,yes,yes,yes,no
1941,no,yes,no,no,no
1942,yes,yes,yes,yes,yes
1943,yes,yes,yes,no,no
1944,no,yes,no,no,yes
1945,yes,no,yes,no,no
1946,no,yes,yes,yes,no
1947,no,yes,no,no,no
1948,no,yes,no,no,no
1949,no,yes,yes,no,yes
1950,yes,yes,yes,yes,no
1951,yes,yes,no,yes,yes
1952,no,yes,no,no,no
1953,no,yes,no,no,no
1954,yes,no,yes,no,no
1955,yes,yes,yes,yes,yes
1956,yes,yes,yes,yes,yes
1957,no,yes,no,no,yes
1958,yes,yes,no,no,yes
1959,yes,yes,no,no,no
1960,yes,no,yes,yes,yes
1961,yes,yes,no,no,yes
1962,no,yes,no,no,no
1963,no,yes,yes,no,yes
1964,yes,no,yes,no,yes
1965,no,yes,yes,yes,yes
1966,yes,yes,yes,yes,no
1967,no,yes,yes,yes,no
1968,no,yes,no,yes,no
1969,yes,no,yes,yes,no
1970,no,yes,yes,no,no
1971,yes,yes,yes,yes,yes
1972,no,yes,no,yes,no
1973,no,yes,no,no,no
1974,no,yes,yes,yes,yes
1975,yes,yes,no,yes,yes
1976,yes,yes,yes,yes,no
1977,yes,yes,no,no,no
1978,yes,yes,no,no,no
1979,no,yes,no,no,no
1980,no,no,yes,no,no
1981,yes,yes,no,no,no
1982,no,yes,no,yes,no
1983,yes,yes,yes,yes,yes
1984,no,yes,no,yes,yes
1985,no,no,no,no,no
1986,yes,yes,no,yes,yes
1987,yes,no,no,yes,yes
1988,no,yes,yes,no,no
1989,yes,yes,no,no,no
1990,yes,yes,no,no,no
1991,no,yes,no,no,no
1992,yes,no,yes,yes,no
1993,yes,yes,yes,no,no
1994,no,yes,no,no,no
1995,no,yes,no,no,yes
1996,yes,yes,yes,yes,no
1997,no,no,yes,yes,yes
1998,yes,yes,no,no,no
1999,no,yes,yes,no,yes
2000,no,yes,no,no,yes
2001,yes,yes,no,no,yes
2002,yes,no,yes,yes,yes
2003,yes,yes,no,no,no
2004,yes,yes,no,no,yes
2005,yes,yes,yes,yes,yes
2006,yes,yes,yes,no,yes
2007,yes,yes,no,no,no
2008,yes,yes,no,no,no
2009,no,yes,no,no,no
2010,yes,no,yes,yes,no
2011,yes,yes,no,yes,yes
2012,yes,yes,no,no,yes
2013,yes,yes,yes,yes,yes
2014,yes,yes,no,yes,no
2015,yes,yes,no,yes,yes
2016,yes,no,yes,yes,yes
2017,yes,no,yes,yes,yes
2018,yes,yes,yes,yes,yes
2019,yes,yes,no,yes,no
2020,yes,yes,yes,no,no
2021,no,no,no,no,yes
2022,yes,no,yes,no,yes
2023,no,yes,no,no,no
2024,yes,yes,no,no,no
2025,yes,yes,no,no,yes
2026,yes,no,yes,no,no
2027,yes,yes,no,yes,yes
2028,no,yes,yes,no,no
2029,yes,yes,no,yes,no
2030,no,no,yes,no,yes
2031,yes,no,no,yes,yes
2032,yes,yes,yes,yes,yes
2033,yes,no,yes,yes,yes
2034,no,yes,no,no,no
2035,yes,yes,yes,no,no
2036,no,yes,no,yes,no
2037,yes,no,yes,yes,no
2038,no,yes,no,no,yes
2039,no,yes,no,no,yes
2040,no,yes,yes,no,no
2041,yes,no,no,no,yes
2042,no,yes,yes,no,no
2043,yes,no,no,yes,yes
2044,no,yes,yes,no,no
2045,no,no,yes,yes,yes
2046,no,yes,no,no,no
2047,yes,yes,no,no,yes
2048,yes,no,no,no,no
2049,yes,no,yes,no,no
2050,no,yes,yes,no,yes
2051,no,yes,no,no,no
2052,yes,no,yes,yes,yes
2053,yes,yes,yes,yes,no
2054,yes,no,yes,no,yes
2055,yes,yes,yes,no,no
2056,yes,yes,yes,yes,no
2057,no,yes,no,yes,no
2058,yes,no,no,yes,yes
2059,yes,yes,no,yes,yes
2060,yes,yes,no,no,no
2061,no,no,yes,no,no
2062,yes,yes,no,no,yes
2063,yes,yes,yes,yes,yes
2064,yes,no,yes,yes,yes
2065,no,yes,no,no,no
2066,yes,yes,no,yes,no
2067,yes,yes,yes,yes,no
2068,yes,yes,no,no,no
2069,no,no,no,no,no
2070,yes,yes,no,yes,yes
2071,yes,yes,yes,yes,no
2072,no,yes,yes,no,no
2073,no,yes,no,yes,yes
2074,no,yes,no,no,no
2075,yes,yes,yes,yes,yes
2076,yes,yes,no,no,no
2077,no,yes,no,yes,no
2078,yes,yes,yes,yes,no
2079,yes,no,no,yes,yes
2080,no,yes,no,no,yes
2081,yes,yes,no,no,no
2082,yes,no,yes,no,no
2083,yes,yes,yes,yes,no
2084,yes,yes,no,no,yes
2085,yes,no,no,no,yes
2086,no,no,no,yes,yes
2087,yes,yes,yes,yes,yes
2088,yes,yes,yes,yes,no
2089,no,yes,no,no,no
2090,yes,no,yes,yes,yes
2091,no,yes,yes,no,no
2092,no,yes,no,no,yes
2093,no,yes,no,yes,yes
2094,yes,yes,no,yes,yes
2095,yes,yes,no,yes,no
2096,yes,yes,no,yes,yes
2097,yes,yes,yes,no,no
2098,yes,yes,yes,no,no
2099,yes,yes,yes,yes,yes
2100,no,yes,yes,no,no
2101,no,yes,yes,no,yes
2102,no,yes,no,no,yes
2103,yes,no,yes,yes,yes
2104,yes,no,yes,no,yes
2105,yes,yes,no,no,no
2106,yes,no,yes,yes,yes
2107,no,yes,no,no,no
2108,yes,yes,no,no,no
2109,yes,yes,no,yes,no
2110,yes,yes,no,no,no
2111,no,no,yes,no,no
2112,no,yes,no,yes,yes
2113,yes,no,no,no,yes
2114,yes,yes,no,no,no
2115,no,yes,no,no,no
2116,yes,yes,yes,yes,no
2117,yes,no,yes,yes,yes
2118,yes,yes,yes,yes,no
2119,no,yes,yes,no,no
2120,no,no,no,no,yes
2121,yes,no,no,no,yes
2122,yes,yes,yes,yes,no
2123,no,yes,yes,no,yes
2124,no,yes,no,no,no
2125,yes,no,yes,yes,yes
2126,no,no,yes,yes,yes
2127,yes,yes,no,no,yes
2128,yes,yes,yes,no,yes
2129,no,yes,no,yes,no
2130,no,yes,yes,no,yes
2131,yes,yes,yes,no,no
2132,no,no,yes,yes,yes
2133,no,yes,no,no,no
2134,yes,no,no,no,yes
2135,yes,no,no,yes,yes
2136,no,yes,no,no,no
2137,yes,no,yes,yes,yes
2138,no,yes,no,yes,no
2139,no,yes,yes,yes,yes
2140,yes,yes,no,yes,no
2141,no,yes,yes,no,no
2142,yes,yes,yes,yes,no
2143,yes,yes,yes,yes,no
2144,no,yes,yes,no,yes
2145,no,yes,no,no,no
2146,no,no,yes,yes,no
2147,yes,yes,no,no,yes
2148,yes,yes,yes,no,yes
2149,yes,yes,yes,yes,no
2150,yes,no,yes,no,yes
2151,yes,no,no,yes,no
2152,yes,yes,no,yes,yes
2153,yes,no,yes,no,yes
2154,yes,no,yes,yes,no
2155,yes,no,no,yes,yes
2156,yes,no,no,yes,no
2157,yes,yes,yes,no,yes
2158,yes,no,yes,yes,yes
2159,yes,yes,no,no,no
2160,no,no,no,no,no
2161,yes,yes,yes,no,yes
2162,no,no,no,no,no
2163,yes,yes,no,no,no
2164,yes,yes,no,no,yes
2165,no,yes,yes,yes,yes
2166,yes,no,yes,yes,yes
2167,no,no,no,no,no
2168,yes,yes,no,yes,no
2169,no,yes,yes,yes,yes
2170,yes,yes,no,yes,no
2171,yes,no,yes,yes,no
2172,yes,yes,no,no,no
2173,yes,yes,no,yes,no
2174,no,yes,yes,no,no
2175,no,yes,yes,no,yes
2176,no,yes,no,no,no
2177,no,yes,yes,no,yes
2178,yes,yes,no,yes,yes
2179,no,no,yes,yes,no
2180,yes,no,yes,yes,yes
2181,yes,no,yes,yes,no
2182,no,yes,yes,no,yes
2183,no,yes,no,no,no
2184,yes,yes,no,no,no
2185,yes,yes,no,yes,yes
2186,yes,yes,no,yes,no
2187,no,yes,no,yes,no
2188,yes,no,no,yes,yes
2189,yes,yes,no,no,yes
2190,no,yes,no,yes,yes
2191,yes,yes,yes,no,no
2192,yes,no,no,no,no
2193,no,yes,yes,yes,yes
2194,no,yes,no,no,no
2195,no,yes,no,no,no
2196,no,yes,no,no,no
2197,yes,yes,no,yes,no
2198,yes,yes,no,no,no
2199,yes,no,yes,yes,yes
2200,yes,no,no,yes,no
2201,yes,no,yes,yes,yes
2202,no,no,no,no,no
2203,no,yes,yes,no,yes
2204,yes,no,no,yes,yes
2205,yes,no,no,yes,yes
2206,yes,yes,no,no,yes
2207,no,yes,yes,no,no
2208,yes,no,no,no,no
2209,no,yes,no,no,no
2210,yes,yes,no,yes,no
2211,yes,yes,no,no,no
2212,no,yes,no,yes,no
2213,yes,yes,no,no,no
2214,no,no,yes,yes,yes
2215,yes,no,yes,yes,no
2216,no,yes,no,no,no
2217,no,yes,yes,yes,no
2218,yes,no,yes,yes,yes
2219,no,yes,yes,no,no
2220,no,yes,no,no,no
2221,yes,no,yes,yes,yes
2222,yes,yes,no,yes,no
2223,no,yes,no,yes,no
2224,no,yes,no,yes,no
2225,no,yes,no,no,no
2226,no,no,yes,yes,no
2227,yes,no,no,yes,no
2228,yes,yes,no,yes,no
2229,yes,yes,no,no,yes
2230,yes,no,yes,yes,no
2231,yes,no,no,yes,yes
2232,yes,no,no,yes,no
2233,yes,yes,yes,no,no
2234,no,yes,no,yes,yes
2235,yes,yes,yes,yes,yes
2236,yes,yes,no,yes,no
2237,no,yes,no,no,no
2238,yes,yes,no,yes,yes
2239,no,no,yes,no,no
2240,yes,yes,no,yes,yes
2241,no,yes,yes,no,no
2242,yes,no,yes,no,yes
2243,yes,no,yes,yes,yes
2244,yes,no,yes,yes,yes
2245,yes,no,yes,yes,yes
2246,no,no,yes,yes,yes
2247,yes,yes,no,no,no
2248,no,no,no,no,yes
2249,no,no,yes,no,yes
2250,yes,yes,yes,no,yes
2251,no,yes,no,no,no
2252,yes,no,yes,no,no
2253,yes,yes,no,no,no
2254,no,yes,no,yes,no
2255,yes,yes,no,yes,yes
2256,no,no,yes,yes,yes
2257,no,no,yes,yes,yes
2258,yes,yes,yes,no,no
2259,yes,no,no,yes,no
2260,no,yes,no,no,yes
2261,yes,no,no,yes,yes
2262,no,yes,no,no,yes
2263,no,no,no,no,no
2264,no,yes,no,no,no
2265,no,no,no,yes,yes
2266,yes,yes,yes,yes,no
2267,yes,yes,no,yes,yes
2268,no,yes,yes,no,no
2269,no,yes,no,no,no
2270,no,yes,no,no,no
2271,yes,no,no,yes,yes
2272,no,yes,no,no,yes
2273,yes,no,yes,yes,no
2274,no,no,no,no,yes
2275,yes,yes,no,yes,no
2276,no,no,no,yes,no
2277,yes,no,yes,yes,no
2278,yes,yes,no,yes,no
2279,no,yes,no,yes,no
2280,no,yes,no,no,no
2281,yes,yes,no,yes,no
2282,no,yes,no,no,no
2283,no,no,no,yes,yes
2284,yes,yes,yes,no,no
2285,yes,no,yes,yes,yes
2286,no,no,yes,yes,yes
2287,yes,yes,no,no,no
2288,yes,yes,no,yes,no
2289,no,yes,yes,no,no
2290,yes,no,yes,yes,yes
2291,yes,yes,yes,yes,no
2292,yes,no,no,yes,yes
2293,yes,yes,no,yes,yes
2294,yes,yes,yes,yes,no
2295,yes,yes,no,no,no
2296,no,yes,no,no,no
2297,yes,yes,yes,no,no
2298,yes,yes,no,no,yes
2299,yes,no,yes,yes,yes
2300,yes,yes,no,no,no
2301,no,yes,no,yes,no
2302,yes,no,yes,yes,yes
2303,yes,yes,no,no,no
2304,yes,yes,no,no,no
2305,yes,yes,yes,yes,no
2306,yes,no,yes,yes,yes
2307,no,yes,yes,no,no
2308,no,yes,no,no,no
2309,no,yes,no,no,no
2310,no,yes,no,no,no
2311,yes,no,yes,no,no
2312,yes,yes,no,no,no
2313,yes,no,yes,yes,yes
2314,no,yes,no,no,yes
2315,yes,no,yes,yes,yes
2316,yes,no,yes,no,yes
2317,yes,no,yes,yes,yes
2318,yes,yes,yes,yes,yes
2319,yes,yes,no,yes,no
2320,yes,yes,no,yes,yes
2321,yes,yes,yes,yes,yes
2322,no,yes,yes,yes,no
2323,no,yes,no,yes,yes
2324,yes,no,yes,yes,yes
2325,no,yes,no,no,yes
2326,no,yes,no,no,yes
2327,yes,yes,no,yes,yes
2328,no,yes,no,no,no
2329,yes,no,yes,yes,yes
2330,yes,yes,yes,no,no
2331,yes,yes,yes,no,no
2332,no,yes,no,no,no
2333,yes,no,no,yes,no
2334,no,yes,no,no,no
2335,yes,no,yes,yes,yes
2336,yes,yes,yes,yes,yes
2337,no,yes,no,no,no
2338,no,yes,no,no,yes
2339,no,yes,no,no,no
2340,no,yes,yes,yes,yes
2341,yes,yes,yes,no,no
2342,yes,yes,yes,no,no
2343,no,yes,yes,yes,yes
2344,yes,no,yes,no,yes
2345,no,yes,no,no,no
2346,yes,yes,no,yes,no
2347,yes,yes,yes,yes,yes
2348,no,yes,no,no,no
2349,yes,no,yes,no,yes
2350,yes,yes,yes,yes,yes
2351,no,yes,no,no,no
2352,yes,yes,yes,yes,no
2353,yes,no,yes,no,yes
2354,yes,yes,no,yes,yes
2355,no,yes,no,no,no
2356,yes,yes,no,yes,yes
2357,yes,no,yes,yes,yes
2358,yes,no,yes,yes,yes
2359,no,yes,no,no,no
2360,yes,no,yes,no,yes
2361,no,yes,yes,yes,no
2362,no,yes,yes,no,no
2363,yes,yes,no,no,no
2364,yes,no,no,yes,yes
2365,yes,yes,yes,yes,no
2366,yes,yes,no,yes,yes
2367,yes,no,yes,yes,yes
2368,yes,yes,yes,yes,yes
2369,yes,no,yes,no,yes
2370,no,yes,yes,no,no
2371,yes,no,yes,yes,yes
2372,no,yes,no,no,no
2373,yes,yes,yes,no,no
2374,yes,yes,no,no,yes
2375,yes,no,yes,yes,yes
2376,yes,yes,yes,yes,yes
2377,yes,no,no,no,no
2378,yes,no,yes,no,no
2379,yes,yes,no,yes,yes
2380,yes,yes,yes,yes,yes
2381,no,yes,no,no,no
2382,no,yes,no,no,no
2383,yes,yes,no,no,yes
2384,no,yes,yes,yes,yes
2385,yes,no,no,yes,no
2386,no,no,yes,yes,yes
2387,yes,no,no,yes,yes
2388,no,yes,no,no,no
2389,no,yes,yes,no,no
2390,yes,yes,yes,yes,no
2391,yes,no,no,yes,yes
2392,yes,yes,yes,yes,yes
2393,no,yes,no,no,no
2394,yes,no,yes,yes,yes
2395,yes,no,no,yes,yes
2396,yes,yes,no,no,no
2397,yes,yes,yes,no,no
2398,no,yes,yes,yes,no
2399,yes,no,yes,yes,yes
2400,yes,yes,no,yes,no
2401,no,yes,no,no,yes
2402,yes,no,yes,yes,yes
2403,yes,no,yes,yes,yes
2404,no,yes,no,no,no
2405,no,yes,no,yes,no
2406,no,yes,no,no,no
2407,yes,no,yes,yes,no
2408,no,yes,no,no,no
2409,yes,yes,yes,no,no
2410,no,yes,no,no,no
2411,yes,yes,no,yes,no
2412,yes,yes,yes,yes,no
2413,no,no,yes,no,yes
2414,yes,yes,yes,no,no
2415,no,yes,no,no,no
2416,no,yes,no,no,no
2417,no,yes,no,yes,no
2418,no,yes,no,no,no
2419,no,yes,no,no,no
2420,yes,no,yes,yes,yes
2421,no,yes,no,no,no
2422,yes,yes,yes,yes,yes
2423,yes,yes,yes,yes,no
2424,yes,no,yes,yes,yes
2425,yes,yes,no,no,no
2426,yes,no,yes,yes,no
2427,yes,yes,yes,yes,yes
2428,no,yes,yes,no,no
2429,yes,yes,no,no,no
2430,yes,no,yes,yes,no
2431,yes,yes,no,no,no
2432,no,yes,yes,yes,yes
2433,yes,yes,no,no,yes
2434,yes,no,yes,yes,yes
2435,yes,yes,yes,no,no
2436,yes,yes,yes,no,no
2437,yes,no,yes,yes,no
2438,yes,no,no,no,no
2439,no,yes,no,no,no
2440,yes,no,yes,yes,no
2441,yes,yes,no,no,no
2442,yes,no,yes,yes,yes
2443,yes,yes,no,no,no
2444,yes,yes,yes,yes,yes
2445,no,yes,yes,yes,no
2446,yes,yes,no,no,no
2447,yes,yes,yes,yes,yes
2448,yes,yes,no,no,no
2449,no,yes,no,no,no
2450,yes,no,no,yes,yes
2451,no,yes,no,no,no
2452,yes,yes,no,no,no
2453,yes,yes,yes,yes,yes
2454,yes,yes,no,yes,no
2455,yes,yes,no,yes,no
2456,no,no,yes,no,no
2457,no,yes,yes,no,yes
2458,no,yes,yes,no,yes
2459,no,yes,no,no,no
2460,no,yes,no,no,yes
2461,yes,no,no,no,no
2462,no,yes,yes,no,yes
2463,no,yes,no,yes,no
2464,no,yes,no,yes,no
2465,no,no,no,no,no
2466,yes,no,yes,yes,yes
2467,no,yes,no,yes,no
2468,no,yes,yes,no,no
2469,no,yes,yes,no,no
2470,no,yes,yes,no,no
2471,no,yes,no,no,no
2472,no,yes,no,no,no
2473,yes,yes,no,yes,yes
2474,yes,yes,no,no,no
2475,no,yes,yes,no,yes
2476,yes,yes,no,yes,yes
2477,no,no,no,yes,yes
2478,yes,yes,no,yes,yes
2479,no,yes,no,yes,no
2480,yes,no,yes,yes,yes
2481,yes,no,yes,yes,yes
2482,no,yes,yes,no,no
2483,yes,no,no,yes,no
2484,yes,yes,no,yes,no
2485,yes,yes,no,no,no
2486,no,yes,no,no,no
2487,yes,no,no,yes,yes
2488,no,yes,no,no,no
2489,yes,no,yes,no,no
2490,no,yes,no,no,no
2491,yes,no,no,yes,yes
2492,no,no,no,no,no
2493,yes,yes,no,yes,no
2494,yes,yes,no,yes,yes
2495,yes,no,yes,yes,yes
2496,no,yes,no,no,no
2497,yes,no,yes,yes,yes
2498,no,yes,yes,no,yes
2499,no,yes,no,yes,yes
2500,no,yes,no,yes,yes
2501,yes,yes,no,yes,no
2502,yes,no,yes,yes,yes
2503,yes,yes,no,yes,yes
2504,yes,yes,yes,yes,yes
2505,no,yes,yes,no,no
2506,no,yes,yes,no,no
2507,yes,yes,no,yes,no
2508,yes,yes,yes,yes,yes
2509,yes,no,yes,yes,yes
2510,yes,no,yes,yes,no
2511,no,yes,no,no,no
2512,yes,no,no,yes,no
2513,yes,no,yes,yes,no
2514,no,yes,no,yes,yes
2515,no,yes,no,no,no
2516,no,no,yes,no,yes
2517,no,yes,yes,yes,yes
2518,yes,yes,yes,no,no
2519,yes,yes,yes,yes,yes
2520,no,yes,no,no,yes
2521,yes,no,yes,yes,yes
2522,yes,no,no,yes,yes
2523,yes,yes,yes,yes,yes
2524,no,yes,yes,yes,yes
2525,yes,yes,yes,yes,yes
2526,yes,yes,yes,yes,yes
2527,yes,yes,yes,no,yes
2528,no,yes,yes,yes,no
2529,no,yes,yes,no,yes
2530,no,yes,no,yes,yes
2531,yes,yes,no,no,no
2532,yes,no,yes,yes,yes
2533,yes,yes,no,no,yes
2534,no,yes,yes,no,no
2535,yes,no,no,yes,no
2536,yes,no,no,yes,yes
2537,yes,yes,no,yes,no
2538,yes,yes,no,no,no
2539,yes,yes,no,no,yes
2540,yes,no,no,no,no
2541,yes,no,yes,yes,yes
2542,yes,yes,yes,no,no
2543,no,yes,no,no,no
2544,yes,yes,yes,no,no
2545,no,yes,no,yes,no
2546,yes,yes,no,yes,no
2547,no,no,yes,no,yes
2548,yes,yes,yes,yes,yes
2549,yes,no,yes,yes,yes
2550,no,no,no,no,no
2551,yes,yes,yes,yes,yes
2552,no,yes,no,yes,yes
2553,no,yes,no,yes,no
2554,yes,no,yes,no,no
2555,no,yes,yes,no,no
2556,no,yes,no,no,no
2557,yes,no,no,yes,no
2558,yes,yes,yes,no,yes
2559,no,yes,no,yes,no
2560,yes,yes,no,no,no
2561,yes,no,yes,no,yes
2562,yes,yes,yes,no,yes
2563,yes,yes,no,yes,yes
2564,yes,no,yes,yes,yes
2565,yes,no,yes,yes,yes
2566,yes,no,yes,no,yes
2567,yes,yes,no,yes,no
2568,yes,no,yes,yes,yes
2569,no,yes,no,no,no
2570,yes,no,no,no,yes
2571,yes,no,yes,yes,yes
2572,yes,yes,yes,yes,yes
2573,no,yes,no,yes,no
2574,no,no,yes,yes,yes
2575,yes,yes,no,yes,no
2576,yes,yes,no,no,no
2577,yes,yes,no,no,no
2578,no,yes,no,no,no
2579,yes,no,yes,yes,yes
2580,yes,yes,yes,no,yes
2581,yes,no,yes,no,yes
2582,no,yes,yes,no,no
2583,no,yes,yes,no,no
2584,yes,yes,no,yes,yes
2585,yes,yes,no,yes,yes
2586,no,yes,no,yes,no
2587,yes,no,yes,yes,no
2588,yes,yes,no,yes,no
2589,yes,yes,no,yes,yes
2590,no,yes,no,yes,no
2591,no,yes,yes,yes,no
2592,no,yes,no,no,no
2593,yes,yes,yes,yes,yes
2594,yes,yes,no,yes,no
2595,no,yes,no,yes,no
2596,yes,no,no,yes,yes
2597,no,no,yes,no,no
2598,no,yes,no,no,no
2599,yes,no,no,no,no
2600,yes,yes,no,no,no
2601,no,yes,yes,no,yes
2602,yes,yes,no,yes,no
2603,no,yes,no,no,yes
2604,no,yes,no,no,no
2605,no,yes,no,no,no
2606,yes,yes,yes,no,no
2607,no,yes,yes,yes,no
2608,yes,yes,yes,yes,yes
2609,yes,yes,no,no,no
2610,no,yes,yes,no,no
2611,yes,yes,no,yes,yes
2612,no,yes,no,no,no
2613,yes,yes,no,yes,yes
2614,no,no,yes,yes,yes
2615,no,yes,yes,no,yes
2616,yes,no,yes,no,yes
2617,yes,no,no,yes,yes
2618,yes,yes,yes,yes,yes
2619,no,yes,yes,no,no
2620,yes,yes,no,yes,no
2621,yes,yes,no,yes,yes
2622,no,yes,yes,no,yes
2623,yes,yes,yes,yes,no
2624,no,yes,no,no,no
2625,yes,yes,no,no,no
2626,yes,yes,no,no,yes
2627,yes,yes,no,yes,yes
2628,no,no,yes,no,yes
2629,no,no,no,yes,no
2630,yes,yes,no,no,yes
2631,no,yes,no,no,no
2632,no,yes,yes,no,no
2633,yes,yes,no,no,yes
2634,yes,no,yes,no,no
2635,yes,yes,no,yes,yes
2636,yes,no,no,yes,no
2637,yes,yes,yes,yes,yes
2638,yes,yes,yes,no,no
2639,yes,yes,yes,yes,yes
2640,yes,yes,yes,yes,no
2641,yes,yes,yes,no,yes
2642,yes,no,no,no,no
2643,yes,yes,no,no,no
2644,yes,no,no,yes,no
2645,no,yes,no,no,no
2646,yes,yes,no,no,no
2647,no,yes,yes,yes,yes
2648,yes,no,yes,no,no
2649,yes,no,yes,yes,no
2650,no,no,yes,yes,yes
2651,no,yes,yes,yes,yes
2652,yes,no,yes,yes,yes
2653,yes,yes,yes,no,no
2654,yes,no,no,yes,no
2655,no,yes,no,no,no
2656,yes,yes,yes,no,no
2657,yes,yes,no,yes,no
2658,yes,no,yes,yes,yes
2659,yes,yes,yes,yes,yes
2660,yes,no,no,yes,no
2661,no,yes,yes,yes,no
2662,no,yes,no,no,yes
2663,yes,yes,yes,yes,no
2664,yes,yes,yes,yes,yes
2665,yes,yes,no,yes,no
2666,yes,no,yes,yes,yes
2667,no,no,yes,no,yes
2668,yes,yes,no,yes,no
2669,yes,yes,no,yes,yes
2670,yes,no,no,no,yes
2671,no,yes,no,no,no
2672,no,no,yes,no,no
2673,yes,no,yes,yes,yes
2674,yes,no,yes,yes,yes
2675,yes,no,yes,yes,yes
2676,no,yes,no,no,no
2677,yes,no,yes,yes,yes
2678,yes,no,yes,no,no
2679,yes,yes,yes,no,no
2680,no,yes,no,no,no
2681,yes,yes,yes,yes,yes
2682,no,no,yes,yes,yes
2683,no,yes,no,no,yes
2684,no,yes,no,no,no
2685,yes,no,no,yes,yes
2686,no,yes,no,no,no
2687,no,yes,yes,yes,yes
2688,yes,no,yes,yes,no
2689,yes,no,yes,yes,yes
2690,yes,no,yes,yes,yes
2691,yes,no,yes,yes,no
2692,no,yes,no,no,no
2693,yes,no,no,no,yes
2694,yes,no,yes,yes,yes
2695,yes,yes,yes,no,no
2696,yes,yes,no,yes,yes
2697,yes,yes,no,no,no
2698,yes,yes,no,no,no
2699,no,yes,no,no,no
2700,yes,yes,no,no,yes
2701,yes,yes,no,yes,no
2702,yes,no,yes,yes,yes
2703,no,no,no,yes,no
2704,yes,no,yes,yes,yes
2705,yes,yes,no,yes,no
2706,no,yes,no,no,no
2707,no,yes,no,yes,no
2708,yes,no,no,yes,no
2709,yes,yes,no,no,no
2710,no,yes,yes,yes,no
2711,yes,no,yes,yes,yes
2712,no,yes,yes,no,no
2713,yes,yes,yes,no,yes
2714,no,yes,yes,yes,yes
2715,yes,yes,yes,yes,no
2716,yes,yes,yes,no,no
2717,yes,yes,yes,yes,no
2718,yes,no,no,yes,yes
2719,no,yes,no,no,yes
2720,yes,no,no,yes,no
2721,yes,yes,no,yes,yes
2722,yes,no,no,yes,yes
2723,no,no,yes,yes,yes
